order_id,delivery_date,delivery_days,delivery_status,return_status,return_reason,refund_amount
500001,2025-10-17,5,On Time,No Return,Unknown,0.0
500002,2025-06-13,4,Late,No Return,Unknown,0.0
500003,2024-01-18,5,On Time,No Return,Unknown,0.0
500004,2024-06-24,4,Late,No Return,Unknown,0.0
500005,2025-05-08,5,On Time,No Return,Unknown,0.0
500006,2024-12-31,7,Late,No Return,Unknown,0.0
500007,2024-04-18,3,On Time,No Return,Unknown,0.0
500008,2024-07-14,7,Late,No Return,Unknown,0.0
500009,2025-06-13,1,On Time,Returned,Late Delivery,360.96
500010,2024-02-23,4,Late,No Return,Unknown,0.0
500011,2024-09-10,5,On Time,Returned,Changed Mind,128.97
500012,2025-02-18,5,On Time,No Return,Unknown,0.0
500013,2025-01-30,5,On Time,No Return,Unknown,0.0
500014,2025-01-19,6,On Time,No Return,Unknown,0.0
500015,2024-08-16,2,On Time,No Return,Unknown,0.0
500016,2025-08-16,3,On Time,No Return,Unknown,0.0
500017,2024-08-03,3,On Time,No Return,Unknown,0.0
500018,2025-06-16,4,On Time,No Return,Unknown,0.0
500019,2024-12-16,5,On Time,No Return,Unknown,0.0
500020,2025-03-03,9,Late,No Return,Unknown,0.0
500021,2024-04-01,8,Late,No Return,Unknown,0.0
500022,2024-07-18,3,Late,No Return,Unknown,0.0
500023,2025-06-18,5,On Time,No Return,Unknown,0.0
500024,2024-08-11,3,On Time,No Return,Unknown,0.0
500025,2024-06-30,6,On Time,No Return,Unknown,0.0
500026,2025-08-11,5,On Time,No Return,Unknown,0.0
500027,2025-08-28,3,On Time,No Return,Unknown,0.0
500028,2024-11-23,6,On Time,No Return,Unknown,0.0
500029,2025-06-22,4,On Time,No Return,Unknown,0.0
500030,2025-12-30,5,On Time,No Return,Unknown,0.0
500031,2025-01-29,1,On Time,No Return,Unknown,0.0
500032,2025-10-04,3,Late,No Return,Unknown,0.0
500033,2025-07-28,4,On Time,No Return,Unknown,0.0
500034,2024-11-21,2,On Time,No Return,Unknown,0.0
500035,2024-03-29,4,Late,No Return,Unknown,0.0
500036,2025-03-09,7,Late,No Return,Unknown,0.0
500037,2024-10-01,7,Late,No Return,Unknown,0.0
500038,2024-04-24,3,On Time,No Return,Unknown,0.0
500039,2025-09-23,4,Not Delivered,No Return,Unknown,0.0
500040,2025-02-07,6,Not Delivered,No Return,Unknown,0.0
500041,2024-02-24,3,On Time,No Return,Unknown,0.0
500042,2024-03-30,6,On Time,No Return,Unknown,0.0
500043,2025-09-19,5,On Time,No Return,Unknown,0.0
500044,2025-12-17,5,On Time,No Return,Unknown,0.0
500045,2026-01-07,7,Late,No Return,Unknown,0.0
500046,2025-03-05,5,On Time,No Return,Unknown,0.0
500047,2024-01-23,2,Late,No Return,Unknown,0.0
500048,2025-11-27,9,Late,No Return,Unknown,0.0
500049,2024-02-28,3,Late,No Return,Unknown,0.0
