product_id,product_name,category,subcategory,brand,unit_cost,list_price
20001,UrbanCart Laptops 1,Electronics,Laptops,UrbanCart,929.98,1513.81
20002,StyleHub Team Sports 2,Sports,Team Sports,StyleHub,1650.14,2315.11
20003,Glow Audio 3,Electronics,Audio,Glow,342.74,512.24
20004,Vertex Laptops 4,Electronics,Laptops,Vertex,235.82,341.36
20005,Zenith Smartphones 5,Electronics,Smartphones,Zenith,232.68,421.95
20006,Apex Makeup 6,Beauty,Makeup,Apex,310.18,577.75
20007,Glow Storage 7,Home & Kitchen,Storage,Glow,4800.23,7404.46
20008,Pulse Audio 8,Electronics,Audio,Pulse,300.51,582.36
20009,Vertex Men's Wear 9,Fashion,Men's Wear,Vertex,539.54,750.31
20010,Nova Fitness 10,Sports,Fitness,Nova,605.04,971.85
20011,Nova Footwear 11,Fashion,Footwear,Nova,456.9,870.44
20012,Glow Audio 12,Electronics,Audio,Glow,4034.5,6147.29
20013,Apex Accessories 13,Electronics,Accessories,Apex,193.45,253.92
20014,UrbanCart Makeup 14,Beauty,Makeup,UrbanCart,4092.31,8577.62
20015,Nova Men's Wear 15,Fashion,Men's Wear,Nova,664.43,1366.9
20016,StyleHub Sportswear 16,Sports,Sportswear,StyleHub,2076.84,2850.97
20017,Nova Footwear 17,Fashion,Footwear,Nova,594.19,1222.2
20018,Glow Accessories 18,Electronics,Accessories,Glow,1157.22,2499.43
20019,StyleHub Storage 19,Home & Kitchen,Storage,StyleHub,289.72,512.94
20020,Pulse Men's Wear 20,Fashion,Men's Wear,Pulse,214.1,354.46
20021,Zenith Appliances 21,Home & Kitchen,Appliances,Zenith,7897.79,12380.6
20022,StyleHub Outdoor 22,Sports,Outdoor,StyleHub,4146.33,6715.69
20023,StyleHub Appliances 23,Home & Kitchen,Appliances,StyleHub,349.25,464.83
20024,StyleHub Women's Wear 24,Fashion,Women's Wear,StyleHub,1609.23,2286.94
20025,Apex Smartphones 25,Electronics,Smartphones,Apex,2635.51,3402.16
20026,StyleHub Smartphones 26,Electronics,Smartphones,StyleHub,1320.02,2173.83
20027,Nova Women's Wear 27,Fashion,Women's Wear,Nova,475.36,994.84
20028,Zenith Women's Wear 28,Fashion,Women's Wear,Zenith,5679.8,7421.42
20029,Pulse Laptops 29,Electronics,Laptops,Pulse,1005.74,2228.25
20030,Vertex Storage 30,Home & Kitchen,Storage,Vertex,367.59,520.59
20031,Pulse Women's Wear 31,Fashion,Women's Wear,Pulse,389.96,847.15
20032,Pulse Personal Care 32,Beauty,Personal Care,Pulse,321.22,458.1
20033,Pulse Storage 33,Home & Kitchen,Storage,Pulse,827.45,1089.44
20034,FitCore Women's Wear 34,Fashion,Women's Wear,FitCore,612.11,1058.18
20035,Glow Laptops 35,Electronics,Laptops,Glow,1254.03,2368.24
20036,Glow Women's Wear 36,Fashion,Women's Wear,Glow,1226.21,2337.09
20037,Apex Men's Wear 37,Fashion,Men's Wear,Apex,1042.1,1702.04
20038,UrbanCart Smartphones 38,Electronics,Smartphones,UrbanCart,841.26,1661.27
20039,Glow Women's Wear 39,Fashion,Women's Wear,Glow,2062.38,3068.72
20040,UrbanCart Furniture 40,Home & Kitchen,Furniture,UrbanCart,559.72,979.29
20041,StyleHub Laptops 41,Electronics,Laptops,StyleHub,83.49,150.0
20042,Pulse Furniture 42,Home & Kitchen,Furniture,Pulse,4831.07,8022.04
20043,Pulse Appliances 43,Home & Kitchen,Appliances,Pulse,332.57,528.69
20044,Vertex Skincare 44,Beauty,Skincare,Vertex,1114.88,2243.96
20045,FitCore Audio 45,Electronics,Audio,FitCore,603.7,883.17
20046,HomePro Skincare 46,Beauty,Skincare,HomePro,3130.83,4223.02
20047,Pulse Laptops 47,Electronics,Laptops,Pulse,273.58,505.0
20048,Pulse Audio 48,Electronics,Audio,Pulse,322.5,632.94
20049,Glow Furniture 49,Home & Kitchen,Furniture,Glow,537.42,766.69
20050,FitCore Storage 50,Home & Kitchen,Storage,FitCore,1009.0,1976.22
20051,FitCore Fitness 51,Sports,Fitness,FitCore,680.01,1466.76
20052,UrbanCart Footwear 52,Fashion,Footwear,UrbanCart,1305.91,1995.73
20053,HomePro Furniture 53,Home & Kitchen,Furniture,HomePro,711.67,1345.01
20054,Glow Team Sports 54,Sports,Team Sports,Glow,1406.78,2776.38
20055,Nova Appliances 55,Home & Kitchen,Appliances,Nova,2181.4,2818.6
20056,Zenith Audio 56,Electronics,Audio,Zenith,2562.02,4689.63
20057,UrbanCart Furniture 57,Home & Kitchen,Furniture,UrbanCart,1223.32,1635.16
20058,Glow Outdoor 58,Sports,Outdoor,Glow,828.42,1628.14
20059,FitCore Women's Wear 59,Fashion,Women's Wear,FitCore,4239.69,5886.31
20060,Vertex Accessories 60,Fashion,Accessories,Vertex,2170.45,3525.36
20061,Zenith Footwear 61,Fashion,Footwear,Zenith,910.93,1913.98
20062,Apex Men's Wear 62,Fashion,Men's Wear,Apex,236.75,342.08
20063,Zenith Personal Care 63,Beauty,Personal Care,Zenith,196.29,263.69
20064,UrbanCart Accessories 64,Electronics,Accessories,UrbanCart,1049.35,2082.89
20065,Pulse Accessories 65,Electronics,Accessories,Pulse,1490.31,2161.61
20066,FitCore Furniture 66,Home & Kitchen,Furniture,FitCore,373.72,626.14
20067,Vertex Personal Care 67,Beauty,Personal Care,Vertex,1153.05,1650.09
20068,UrbanCart Men's Wear 68,Fashion,Men's Wear,UrbanCart,361.69,527.55
20069,Vertex Women's Wear 69,Fashion,Women's Wear,Vertex,921.36,2008.29
20070,FitCore Laptops 70,Electronics,Laptops,FitCore,1046.41,2055.91
20071,Zenith Audio 71,Electronics,Audio,Zenith,1237.49,2043.96
20072,Nova Skincare 72,Beauty,Skincare,Nova,1230.4,1623.04
20073,UrbanCart Smartphones 73,Electronics,Smartphones,UrbanCart,518.37,920.91
20074,Pulse Men's Wear 74,Fashion,Men's Wear,Pulse,652.16,991.83
